Date,Initial Claims N.S.A,Initial Claims S.F.,Initial Claims S.A.,Initial Claims S.A. 4-Week,Continued Claims N.S.A,Continued Claims S.F.,Continued Claims S.A.,Continued Claims S.A. 4-Week,I.U.R N.S.A,I.U.R S.A.,Covered Employment
1/7/1967,"346,000",166.5,"208,000",0,"1,594,000",140.6,"1,134,000",0,,,
1/14/1967,"334,000",161.5,"207,000",0,"1,563,000",139.7,"1,119,000",0,,,
1/21/1967,"277,000",127.8,"217,000",0,"1,551,000",138.6,"1,119,000",0,,,
1/28/1967,"252,000",123.8,"204,000","209,000","1,533,000",139,"1,103,000","1,118,750",,,
2/4/1967,"274,000",127.1,"216,000","211,000","1,534,000",135.6,"1,131,000","1,118,000",,,
2/11/1967,"276,000",120.4,"229,000","216,500","1,557,000",135,"1,153,000","1,126,500",,,
2/18/1967,"247,000",108.4,"229,000","219,500","1,579,000",135.3,"1,167,000","1,138,500",,,
2/25/1967,"248,000",102.6,"242,000","229,000","1,625,000",135.5,"1,199,000","1,162,500",,,
3/4/1967,"326,000",105.4,"310,000","252,500","1,621,000",131.2,"1,235,000","1,188,500",,,
3/11/1967,"240,000",99.8,"241,000","255,500","1,577,000",127.8,"1,234,000","1,208,750",,,
3/18/1967,"225,000",92,"245,000","259,500","1,525,000",123.4,"1,236,000","1,226,000",,,
3/25/1967,"215,000",87.2,"247,000","260,750","1,505,000",118.7,"1,268,000","1,243,250",,,
4/1/1967,"223,000",86.2,"259,000","248,000","1,470,000",113.8,"1,291,000","1,257,250",,,
4/8/1967,"251,000",97.6,"257,000","252,000","1,410,000",110.8,"1,273,000","1,267,000",,,
4/15/1967,"289,000",96.9,"299,000","265,500","1,386,000",108.5,"1,278,000","1,277,500",,,
4/22/1967,"218,000",89.1,"245,000","265,000","1,342,000",105.1,"1,277,000","1,279,750",,,
4/29/1967,"216,000",85,"255,000","264,000","1,302,000",101.3,"1,286,000","1,278,500",,,
5/6/1967,"221,000",87.4,"254,000","263,250","1,242,000",95,"1,308,000","1,287,250",,,
5/13/1967,"188,000",81.7,"231,000","246,250","1,169,000",91,"1,284,000","1,288,750",,,
5/20/1967,"177,000",77.3,"230,000","242,500","1,129,000",89.3,"1,265,000","1,285,750",,,
